Position,Cost
462,99615127
463,99589199
464,99564271
465,99540344
466,99517417
467,99495492
468,99474569
469,99454644
470,99435723
471,99417801
472,99400880
473,99384959
474,99370039
475,99356119
476,99343199
477,99331282
478,99320364
479,99310449
480,99301533
481,99293622
482,99286708
483,99280797
484,99275886
485,99271976
486,99269067
487,99267158
488,99266250
489,99266344
490,99267438
491,99269532
492,99272629
493,99276726
494,99281823
495,99287923
496,99295022
497,99303124
498,99312225
499,99322328
500,99333431
501,99345535
502,99358639
503,99372743
504,99387847
505,99403953
506,99421057
507,99439163
508,99458270
509,99478376
510,99499483
511,99521590
512,99544698
513,99568806
514,99593914
515,99620023
516,99647133
517,99675245
518,99704355
519,99734469
520,99765583
521,99797697
522,99830812
523,99864927
524,99900044
525,99936159
526,99973276
527,100011393
528,100050511
529,100090631
530,100131752
531,100173873
532,100216998
533,100261122
534,100306247
535,100352372
536,100399498
537,100447623
538,100496750
539,100546876
540,100598004
541,100650131
542,100703259
543,100757388
544,100812516
545,100868645
546,100925774
547,100983904
548,101043033
549,101103164
550,101164295
551,101226426
552,101289558
553,101353693
554,101418827
555,101484962
556,101552100
557,101620237
558,101689376
559,101759515
560,101830656
561,101902796
562,101975938
563,102050080
564,102125224
565,102201367
566,102278511
567,102356656
568,102435801
569,102515947
570,102597092
571,102679238
572,102762385
573,102846531
574,102931678
575,103017827
576,103104974
577,103193124
578,103282274
579,103372424
580,103463577
581,103555728
582,103648882
583,103743036
584,103838191
585,103934347
586,104031503
587,104129660
588,104228818
589,104328975
590,104430133
591,104532292
592,104635450
593,104739610
594,104844769
595,104950930
596,105058091
597,105166252
598,105275415
599,105385577
600,105496740
601,105608904
602,105722067
603,105836231
604,105951395
605,106067560
606,106184724
607,106302889
608,106422055
609,106542221
610,106663387
611,106785555
612,106908722
613,107032890
614,107158058
615,107284226
616,107411394
617,107539562
618,107668731
619,107798899
620,107930069
621,108062238
622,108195408
623,108329578
624,108464748
625,108600919
626,108738090
627,108876262
628,109015435
629,109155608
630,109296783
631,109438958
632,109582135
633,109726311
634,109871490
635,110017668
636,110164847
637,110313026
638,110462205
639,110612384
640,110763563
641,110915742
642,111068922
643,111223101
644,111378281
645,111534461
646,111691641
647,111849821
648,112009001
649,112169181
650,112330361
651,112492541
652,112655722
653,112819903
654,112985084
655,113151266
656,113318448
657,113486630
658,113655812
659,113825994
660,113997176
661,114169358
662,114342541
663,114516723
664,114691906
665,114868090
666,115045274
667,115223458
668,115402644
669,115582830
670,115764017
671,115946205
672,116129393
673,116313582
674,116498771
675,116684960
676,116872150
677,117060339
678,117249531
679,117439722
680,117630917
681,117823111
682,118016309
683,118210506
684,118405705
685,118601905
686,118799107
687,118997308
688,119196511
689,119396715
690,119597920
691,119800124
692,120003329
693,120207534
694,120412740
695,120618945
696,120826151
697,121034357
698,121243564
699,121453770
700,121664978
701,121877185
702,122090393
703,122304601
704,122519809
705,122736017
706,122953225
707,123171435
708,123390643
709,123610856
710,123832066
711,124054279
712,124277492
713,124501705
714,124726919
715,124953134
716,125180348
717,125408564
718,125637781
719,125867998
720,126099215
721,126331433
722,126564652
723,126798870
724,127034090
725,127270310
726,127507530
727,127745753
728,127984974
729,128225197
730,128466421
731,128708644
732,128951869
733,129196094
734,129441322
735,129687548
736,129934777
737,130183006
738,130432235
739,130682465
740,130933695
741,131185925
742,131439156
743,131693387
744,131948618
745,132204849
746,132462081
747,132720312
748,132979544
749,133239776
750,133501009
751,133763242
752,134026475
753,134290709
754,134555944
755,134822179
756,135089415
757,135357652
758,135626889
759,135897129
760,136168368
761,136440608
762,136713849
763,136988090
764,137263331
765,137539572
766,137816816
767,138095058
768,138374302
769,138654547
770,138935792
771,139218037
772,139501283
773,139785528
774,140070777
775,140357023
776,140644272
777,140932521
778,141221771
779,141512022
780,141803273
781,142095526
782,142388779
783,142683033
784,142978287
785,143274541
786,143571795
787,143870049
788,144169303
789,144469557
790,144770811
791,145073066
792,145376321
793,145680577
794,145985833
795,146292090
796,146599347
797,146907605
798,147216864
799,147527122
800,147838383
801,148150643
802,148463904
803,148778165
804,149093427
805,149409688
806,149726952
807,150045214
808,150364479
809,150684743
810,151006008
811,151328273
812,151651538
813,151975803
814,152301068
815,152627333
816,152954598
817,153282864
818,153612129
819,153942396
820,154273662
821,154605929
822,154939196
823,155273464
824,155608731
825,155944999
826,156282269
827,156620537
828,156959807
829,157300077
830,157641347
831,157983619
832,158326890
833,158671162
834,159016435
835,159362708
836,159709981
837,160058254
838,160407528
839,160757801
840,161109075
841,161461349
842,161814623
843,162168897
844,162524171
845,162880445
846,163237719
847,163595994
848,163955268
849,164315544
850,164676819
851,165039096
852,165402374
853,165766652
854,166131932
855,166498212
856,166865494
857,167233776
858,167603060
859,167973343
860,168344628
861,168716914
862,169090200
863,169464486
864,169839773
865,170216060
866,170593347
867,170971634
868,171350921
869,171731210
870,172112497
871,172494786
872,172878075
873,173262365
874,173647654
875,174033945
876,174421236
877,174809527
878,175198821
879,175589114
880,175980409
881,176372704
882,176766000
883,177160296
884,177555593
885,177951889
886,178349186
887,178747483
888,179146781
889,179547079
890,179948377
891,180350676
892,180753975
893,181158274
894,181563573
895,181969872
896,182377171
897,182785470
898,183194769
899,183605070
900,184016369
901,184428672
902,184841974
903,185256277
904,185671581
905,186087885
906,186505189
907,186923493
908,187342799
909,187763103
910,188184409
911,188606716
912,189030022
913,189454330
914,189879637
915,190305945
916,190733253
917,191161561
918,191590869
919,192021177
920,192452486
921,192884796
922,193318105
923,193752416
924,194187727
925,194624038
926,195061349
927,195499661
928,195938972
929,196379285
930,196820598
931,197262912
932,197706226
933,198150542
934,198595858
935,199042174
936,199489491
937,199937809
938,200387127
939,200837445
940,201288764
941,201741084
942,202194403
943,202648723
944,203104043
945,203560363
946,204017684
947,204476004
948,204935326
949,205395647
950,205856970
951,206319292
952,206782616
953,207246939
954,207712263
955,208178588
956,208645912
957,209114238
958,209583563
959,210053889
960,210525216
961,210997543
962,211470871
963,211945199
964,212420528
965,212896858
966,213374187
967,213852518
968,214331848
969,214812179
970,215293510
971,215775841
972,216259172
973,216743503
974,217228834
975,217715165
976,218202496
977,218690828
978,219180160
979,219670492
980,220161826
981,220654159
982,221147494
983,221641829
984,222137164
985,222633501
986,223130837
987,223629177
988,224128515
989,224628855
990,225130197
991,225632538
992,226135881
993,226640223
994,227145566
995,227651909
996,228159253
997,228667596
998,229176940
999,229687284
1000,230198628
1001,230710973
1002,231224318
1003,231738664
1004,232254010
1005,232770358
1006,233287706
1007,233806055
1008,234325406
1009,234845756
1010,235367108
1011,235889460
1012,236412812
1013,236937164
1014,237462516
1015,237988868
1016,238516220
1017,239044572
1018,239573924
1019,240104276
1020,240635628
1021,241167980
1022,241701332
1023,242235684
1024,242771036
1025,243307389
1026,243844741
1027,244383094
1028,244922447
1029,245462800
1030,246004154
1031,246546507
1032,247089863
1033,247634217
1034,248179573
1035,248725930
1036,249273286
1037,249821643
1038,250371000
1039,250921358
1040,251472715
1041,252025073
1042,252578432
1043,253132790
1044,253688150
1045,254244509
1046,254801869
1047,255360229
1048,255919589
1049,256479949
1050,257041309
1051,257603669
1052,258167029
1053,258731390
1054,259296750
1055,259863111
1056,260430472
1057,260998833
1058,261568194
1059,262138555
1060,262709917
1061,263282278
1062,263855641
1063,264430003
1064,265005367
1065,265581730
1066,266159094
1067,266737459
1068,267316823
1069,267897188
1070,268478553
1071,269060918
1072,269644283
1073,270228650
1074,270814015
1075,271400383
1076,271987751
1077,272576120
1078,273165491
1079,273755861
1080,274347233
1081,274939605
1082,275532977
1083,276127349
1084,276722721
1085,277319093
1086,277916466
1087,278514838
1088,279114211
1089,279714584
1090,280315957
1091,280918331
1092,281521704
1093,282126079
1094,282731453
1095,283337829
1096,283945204
1097,284553580
1098,285162956
1099,285773332
1100,286384709
1101,286997086
1102,287610464
1103,288224842
1104,288840221
1105,289456600
1106,290073980
1107,290692359
1108,291311739
1109,291932119
1110,292553499
1111,293175879
1112,293799260
1113,294423640
1114,295049021
1115,295675403
1116,296302784
1117,296931168
1118,297560550
1119,298190934
1120,298822319
1121,299454703
1122,300088089
1123,300722474
1124,301357860
1125,301994247
1126,302631633
1127,303270020
1128,303909407
1129,304549794
1130,305191181
1131,305833568
1132,306476956
1133,307121343
1134,307766731
1135,308413119
1136,309060507
1137,309708895
1138,310358284
1139,311008672
1140,311660062
1141,312312451
1142,312965841
1143,313620233
1144,314275623
1145,314932015
1146,315589408
1147,316247801
1148,316907194
1149,317567588
1150,318228982
1151,318891376
1152,319554770
1153,320219164
1154,320884558
1155,321550952
1156,322218346
1157,322886740
1158,323556134
1159,324226528
1160,324897922
1161,325570316
1162,326243712
1163,326918107
1164,327593504
1165,328269901
1166,328947300
1167,329625698
1168,330305097
1169,330985496
1170,331666895
1171,332349294
1172,333032693
1173,333717092
1174,334402491
1175,335088890
1176,335776290
1177,336464689
1178,337154089
1179,337844489
1180,338535889
1181,339228289
1182,339921689
1183,340616090
1184,341311490
1185,342007891
1186,342705292
1187,343403693
1188,344103094
1189,344803495
1190,345504896
1191,346207298
1192,346910699
1193,347615101
1194,348320503
1195,349026905
1196,349734308
1197,350442710
1198,351152113
1199,351862516
1200,352573919
1201,353286322
1202,353999725
1203,354714128
1204,355429531
1205,356145935
1206,356863338
1207,357581742
1208,358301146
1209,359021550
1210,359742954
1211,360465358
1212,361188762
1213,361913166
1214,362638570
1215,363364974
1216,364092379
1217,364820783
1218,365550188
1219,366280593
1220,367011998
1221,367744403
1222,368477808
1223,369212213
1224,369947618
1225,370684024
1226,371421429
1227,372159836
1228,372899242
1229,373639649
1230,374381056
1231,375123463
1232,375866871
1233,376611278
1234,377356686
1235,378103094
1236,378850504
1237,379598914
1238,380348324
1239,381098736
1240,381850148
1241,382602560
1242,383355972
1243,384110385
1244,384865797
1245,385622210
1246,386379624
1247,387138037
1248,387897451
1249,388657865
1250,389419279
1251,390181693
1252,390945107
1253,391709521
1254,392474935
1255,393241349
1256,394008763
1257,394777177
1258,395546591
1259,396317005
1260,397088419
1261,397860834
1262,398634248
1263,399408663
1264,400184078
1265,400960493
1266,401737909
1267,402516324
1268,403295741
1269,404076157
1270,404857574
1271,405639991
1272,406423408
1273,407207825
1274,407993242
1275,408779659
1276,409567076
1277,410355493
1278,411144910
1279,411935327
1280,412726744
1281,413519161
1282,414312578
1283,415106995
1284,415902413
1285,416698830
1286,417496251
1287,418294669
1288,419094090
1289,419894511
1290,420695932
1291,421498353
1292,422301775
1293,423106197
1294,423911619
1295,424718044
1296,425525467
1297,426333892
1298,427143317
1299,427953742
1300,428765167
1301,429577592
1302,430391017
1303,431205442
1304,432020867
1305,432837292
1306,433654717
1307,434473143
1308,435292570
1309,436112997
1310,436934426
1311,437756855
1312,438580285
1313,439404715
1314,440230145
1315,441056575
1316,441884005
1317,442712435
1318,443541865
1319,444372296
1320,445203726
1321,446036157
1322,446869588
1323,447704019
1324,448539450
1325,449375881
1326,450213312
1327,451051744
1328,451891175
1329,452731607
1330,453573039
1331,454415471
1332,455258903
1333,456103336
1334,456948768
1335,457795201
1336,458642634
1337,459491067
1338,460340500
1339,461190933
1340,462042366
1341,462894799
1342,463748233
1343,464602666
1344,465458100
1345,466314534
1346,467171968
1347,468030402
1348,468889836
1349,469750271
1350,470611705
1351,471474140
1352,472337575
1353,473202010
1354,474067445
1355,474933880
1356,475801316
1357,476669751
1358,477539187
1359,478409623
1360,479281060
1361,480153496
1362,481026934
1363,481901371
1364,482776809
1365,483653247
1366,484530685
1367,485409123
1368,486288561
1369,487168999
1370,488050437
1371,488932875
1372,489816313
1373,490700751
1374,491586189
1375,492472627
1376,493360065
1377,494248503
1378,495137941
1379,496028379
1380,496919817
1381,497812256
1382,498705694
1383,499600134
1384,500495573
1385,501392013
1386,502289453
1387,503187893
1388,504087334
1389,504987774
1390,505889215
1391,506791656
1392,507695097
1393,508599538
1394,509504979
1395,510411420
1396,511318862
1397,512227303
1398,513136745
1399,514047187
1400,514958629
1401,515871071
1402,516784514
1403,517698956
1404,518614399
1405,519530842
1406,520448286
1407,521366729
1408,522286173
1409,523206617
1410,524128061
1411,525050505
1412,525973949
1413,526898394
1414,527823838
1415,528750283
1416,529677728
1417,530606173
1418,531535618
1419,532466063
1420,533397508
1421,534329953
1422,535263398
1423,536197843
1424,537133288
1425,538069734
1426,539007179
1427,539945625
1428,540885071
1429,541825518
1430,542766964
1431,543709411
1432,544652858
1433,545597305
1434,546542752
1435,547489199
1436,548436648
1437,549385096
1438,550334545
1439,551284995
1440,552236445
1441,553188896
1442,554142346
1443,555096797
1444,556052248
1445,557008699
1446,557966150
1447,558924601
1448,559884052
1449,560844503
1450,561805954
1451,562768406
1452,563731857
1453,564696309
1454,565661761
1455,566628213
1456,567595665
1457,568564119
1458,569533571
1459,570504025
1460,571475479
1461,572447933
1462,573421387
1463,574395841
1464,575371295
1465,576347749
1466,577325203
1467,578303657
1468,579283111
1469,580263565
1470,581245019
1471,582227474
1472,583210928
1473,584195383
1474,585180838
1475,586167293
1476,587154749
1477,588143204
1478,589132660
1479,590123117
1480,591114573
1481,592107030
1482,593100487
1483,594094944
1484,595090401
1485,596086858
1486,597084315
1487,598082772
1488,599082229
1489,600082686
1490,601084144
1491,602086601
1492,603090059
1493,604094517
1494,605099975
1495,606106433
1496,607113891
1497,608122349
1498,609131807
1499,610142266
1500,611153724
1501,612166183
1502,613179643
1503,614194102
1504,615209562
1505,616226022
1506,617243482
1507,618261942
1508,619281402
1509,620301862
1510,621323322
1511,622345782
1512,623369242
1513,624393702
1514,625419162
1515,626445622
1516,627473082
1517,628501542
1518,629531002
1519,630561462
1520,631592922
1521,632625382
1522,633658842
1523,634693303
1524,635728763
1525,636765224
1526,637802685
1527,638841146
1528,639880607
1529,640921069
1530,641962530
1531,643004992
1532,644048454
1533,645092916
1534,646138378
1535,647184840
1536,648232302
1537,649280764
1538,650330227
1539,651380689
1540,652432152
1541,653484615
1542,654538079
1543,655592542
1544,656648006
1545,657704471
1546,658761935
1547,659820401
1548,660879866
1549,661940332
1550,663001798
1551,664064264
1552,665127730
1553,666192196
1554,667257662
1555,668324128
1556,669391594
1557,670460060
1558,671529526
1559,672599992
1560,673671458
1561,674743924
1562,675817390
1563,676891856
1564,677967322
1565,679043788
1566,680121254
1567,681199720
1568,682279186
1569,683359652
1570,684441118
1571,685523584
1572,686607050
1573,687691516
1574,688776982
1575,689863448
1576,690950915
1577,692039381
1578,693128848
1579,694219315
1580,695310782
1581,696403249
1582,697496716
1583,698591183
1584,699686650
1585,700783117
1586,701880585
1587,702979052
1588,704078520
1589,705178988
1590,706280456
1591,707382925
1592,708486394
1593,709590863
1594,710696333
1595,711802803
1596,712910273
1597,714018743
1598,715128213
1599,716238683
1600,717350153
1601,718462624
1602,719576094
1603,720690565
1604,721806036
1605,722922507
1606,724039978
1607,725158449
1608,726277920
1609,727398391
1610,728519862
1611,729642333
1612,730765804
1613,731890275
1614,733015746
1615,734142217
1616,735269688
1617,736398159
1618,737527631
1619,738658102
1620,739789574
1621,740922046
1622,742055518
1623,743189991
1624,744325463
1625,745461936
1626,746599409
1627,747737882
1628,748877355
1629,750017829
1630,751159302
1631,752301776
1632,753445250
1633,754589725
1634,755735199
1635,756881674
1636,758029149
1637,759177624
1638,760327099
1639,761477574
1640,762629049
1641,763781524
1642,764934999
1643,766089474
1644,767244949
1645,768401424
1646,769558899
1647,770717374
1648,771876849
1649,773037324
1650,774198799
1651,775361275
1652,776524750
1653,777689226
1654,778854702
1655,780021178
1656,781188655
1657,782357131
1658,783526608
1659,784697085
1660,785868562
1661,787041039
1662,788214516
1663,789388993
1664,790564470
1665,791740947
1666,792918424
1667,794096901
1668,795276378
1669,796456856
1670,797638333
1671,798820811
1672,800004289
1673,801188767
1674,802374245
1675,803560723
1676,804748201
1677,805936680
1678,807126158
1679,808316637
1680,809508116
1681,810700595
1682,811894074
1683,813088553
1684,814284032
1685,815480511
1686,816677990
1687,817876470
1688,819075949
1689,820276430
1690,821477910
1691,822680391
1692,823883872
1693,825088353
1694,826293834
1695,827500315
1696,828707796
1697,829916277
1698,831125758
1699,832336239
1700,833547720
1701,834760201
1702,835973682
1703,837188164
1704,838403645
1705,839620127
1706,840837609
1707,842056091
1708,843275573
1709,844496055
1710,845717539
1711,846940021
1712,848163505
1713,849387989
1714,850613473
1715,851839957
1716,853067441
1717,854295925
1718,855525409
1719,856755893
1720,857987377
1721,859219861
1722,860453345
1723,861687829
1724,862923313
1725,864159797
1726,865397282
1727,866635767
1728,867875252
1729,869115738
1730,870357225
1731,871599711
1732,872843198
1733,874087685
1734,875333172
1735,876579659
1736,877827146
1737,879075633
1738,880325120
1739,881575607
1740,882827094
1741,884079581
1742,885333068
1743,886587555
1744,887843042
1745,889099529
1746,890357016
1747,891615503
1748,892874990
1749,894135477
1750,895396964
1751,896659451
1752,897922938
1753,899187425
1754,900452912
1755,901719399
1756,902986886
1757,904255373
1758,905524860
1759,906795347
1760,908066834
1761,909339321
1762,910612808
1763,911887295
1764,913162782
1765,914439269
1766,915716756
1767,916995243
1768,918274730
1769,919555217
1770,920836704
1771,922119191
1772,923402678
1773,924687165
1774,925972652
1775,927259139
1776,928546626
1777,929835113
1778,931124600
1779,932415087
1780,933706574
1781,934999061
1782,936292548
1783,937587036
1784,938882523
1785,940179012
1786,941476500
1787,942774989
1788,944074478
1789,945374967
1790,946676456
1791,947978945
1792,949282434
1793,950586923
1794,951892412
1795,953198901
1796,954506390
1797,955814879
1798,957124368
1799,958434857
1800,959746346
1801,961058835
1802,962372324
1803,963686813
1804,965002302
1805,966318791
1806,967636280
1807,968954769
1808,970274258
1809,971594747
1810,972916236
1811,974238725
1812,975562214
1813,976886703
1814,978212192
1815,979538681
1816,980866170
1817,982194659
1818,983524148
1819,984854637
1820,986186126
1821,987518615
1822,988852104
1823,990186593
1824,991522082
1825,992858571
1826,994196060
1827,995534549
1828,996874038
1829,998214527
1830,999556016
1831,1000898505
1832,1002241994
1833,1003586483
1834,1004931972
1835,1006278461
1836,1007625950
1837,1008974439
1838,1010323928
1839,1011674417
1840,1013025906
1841,1014378395
1842,1015731884
1843,1017086373
1844,1018441862
1845,1019798351
1846,1021155840
1847,1022514329
1848,1023873818
1849,1025234307
1850,1026595796
1851,1027958285
1852,1029321774
1853,1030686263
1854,1032051752
1855,1033418241
1856,1034785730
1857,1036154219
1858,1037523708
1859,1038894197
1860,1040265686
1861,1041638175
1862,1043011664
1863,1044386153
1864,1045761642
1865,1047138131
1866,1048515620
1867,1049894109
1868,1051273598
1869,1052654087
1870,1054035576
1871,1055418065
1872,1056801554
1873,1058186043
1874,1059571532
1875,1060958021
1876,1062345510
1877,1063733999
1878,1065123488
1879,1066513977
1880,1067905466
1881,1069297955
1882,1070691444
1883,1072085933
1884,1073481422
1885,1074877911
1886,1076275400
1887,1077673889
1888,1079073378
1889,1080473867
1890,1081875356
1891,1083277845
1892,1084681334
1893,1086085824
1894,1087491313
1895,1088897803
1896,1090305293
1897,1091713783
1898,1093123273
1899,1094533763
1900,1095945253
1901,1097357743
1902,1098771233
1903,1100185723
1904,1101601213
1905,1103017703
1906,1104435193
1907,1105853683
1908,1107273173
1909,1108693663
1910,1110115153
1911,1111537643
1912,1112961133
1913,1114385623
1914,1115811113
1915,1117237603
1916,1118665093
1917,1120093583
1918,1121523073
1919,1122953563
1920,1124385053
1921,1125817543
1922,1127251033
1923,1128685523
1924,1130121013
1925,1131557503
1926,1132994993
1927,1134433483
1928,1135872973
1929,1137313463
1930,1138754953
1931,1140197443
1932,1141640933
1933,1143085423
1934,1144530913
1935,1145977403
1936,1147424893
1937,1148873383
1938,1150322873
1939,1151773363
1940,1153224853
1941,1154677343
1942,1156130833
1943,1157585323
1944,1159040814
1945,1160497304
1946,1161954795
1947,1163413286
1948,1164872777
1949,1166333268
1950,1167794759
1951,1169257250
1952,1170720741
1953,1172185232
1954,1173650723
1955,1175117214
1956,1176584705
1957,1178053196
1958,1179522687
1959,1180993178
1960,1182464669
1961,1183937160
1962,1185410652
1963,1186885143
1964,1188360635
1965,1189837127
1966,1191314619
1967,1192793111
1968,1194272603
1969,1195753095
1970,1197234587
1971,1198717079
1972,1200200571
1973,1201685063
1974,1203170555
1975,1204657047
1976,1206144539
1977,1207633031
1978,1209122523
1979,1210613015
1980,1212104507
1981,1213596999
1982,1215090491
1983,1216584983
1984,1218080475
